id,name,slug,nationality,birth_year,website,instagram,instagram_followers,galleries_exhibited,cv_url
,Myranda Gillies,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Nancy Lupo,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Natalie Czech,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Nathalie Djurberg & Hans Berg,,,,,,,Tanya Bonakdar Gallery,
,Nathalie Djurberg and Hans Berg,,,,,,,Tanya Bonakdar Gallery,
,Nathaniel de Large,,,,,,,International Waters,
,Neïl Beloufa,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Nicholas Campbell,,,,,,,CLEARING-NewYork,
,Nicholas Devlin,,,,,,,IRL Gallery NYC,
,Nicholas Sullivan,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork, International Waters",
,Nick Farhi,,,,,,,Europa,
,Nicole Wermers,,,,https://nwermers.webs.com,,,Tanya Bonakdar Gallery,
,Nikita Gale,,,,,,,56 Henry,
,Nino Kapanadze,,,,,,,CLEARING-NewYork,
,Noah Schneiderman,,,,,,,Europa,
,Noah Towne,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Nobuyoshi Araki,,,,,,,Luhring Augustine,
,Nora Kapfer,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
32,Nyuegen E. Smith,nyuegen-e-smith,,,,,,,
,Oda aka Nick Dangerfield,,,,,,,IRL Gallery NYC,
,Ohad Meromi,,,,,,,56 Henry,
,Oji Haynes,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Olafur Eliasson,,,,https://olafureliasson.net,https://www.instagram.com/liandro_siringoringo,,Tanya Bonakdar Gallery,https://olafureliasson.net/cv
,Olga Titus,,,,,,,IRL Gallery NYC,
,Oliver Osborne,,,,,,,CLEARING-NewYork,
,Olivia van Kuiken,,,,,,,CLEARING-NewYork,
,Oren Pinhassi,,,,,,,56 Henry,
,Oscar Tuazon,,,,,,,Luhring Augustine,
,Oshay Green,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
8,Ozan Ünal,ozan-nal,,,,,,,
,Pablo Echaurren,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Pacifico Silano,,,,,,,Island,
,Patricio Lima Quintana,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Patrick Carlin Mohundro,,,,,,,International Waters,
,Patrick Jackson,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
5,Paul Latislaw,paul-latislaw,,,,,,,
,Pauline Guerrier,,,,,,,IRL Gallery NYC,
,Pe Ferreira,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
19,Peggy Ahwesh,peggy-ahwesh,,,,,,,
9,Pentti Monkkonen,pentti-monkkonen,,,,,,,
,Peter Fend,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Peter Nagy,,,,https://magentaplains.com/artists/peter-nagy,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Peter Shear,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Peter Wächtler,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Phil Collins,,,,https://philcollins.com,https://www.instagram.com/officialphilcollins,,Tanya Bonakdar Gallery,https://philcollins.com/cv
,Philip Hinge,,,,,,,International Waters,
,Philip Taaffe,,,,,,,Luhring Augustine,
,Pierre Bellot,,,,,,,56 Henry,
,Pipilotti Rist,,,,,,,Luhring Augustine,
,Pol Taburet,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Polly Apfelbaum,,,,,,,56 Henry,
14,Portia Zvavahera,portia-zvavahera,,,,,,,
,Rachel Rossin,,,,https://magentaplains.com/artists/rachel-rossin,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Rachel Whiteread,,,,,,,Luhring Augustine,
,Raffaela Naldi Rossano,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Ragnar Kjartansson,,,,,,,Luhring Augustine,
,Raphael Zarka,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Raphaela Simon,,,,,,,CLEARING-NewYork,
,Raque Ford,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
67,Ray Hwang,ray-hwang,,,,,,,
42,Raymond Pettibon,raymond-pettibon,,,,,,,
47,Rebecca Ness,rebecca-ness,,,,,,,
,Rebecca Storm,,,,,,,IRL Gallery NYC,
,Rebecca Twilley,,,,,,,International Waters,
,Redmond Entwistle,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Reinhard Mucha,,,,,,,Luhring Augustine,
,Renato Leotta,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,René Heyvaert,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
6,Rhys Ziemba,rhys-ziemba,,,,,,,
,Riccardo Paratore,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Richard McDonough,,,,,,,Europa,
,Richard Rezac,,,,,,,Luhring Augustine,
,Richard Tinkler,,,,,,,56 Henry,
,Rita Lundqvist,,,,,,,Tanya Bonakdar Gallery,
,Rita Siegfried,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Ritsue Mishima,,,,,,,Luhring Augustine,
,Rivane Neuenschwander,,,,,,,"CLEARING-LA, CLEARING-NewYork, Tanya Bonakdar Gallery",
,Robert Janitz,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Robert Sagerman,,,,,,,IRL Gallery NYC,
,Robert Zehnder,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Robin Cameron,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Rodrigo Hernandez,,,,https://rodrigo-hernandez.net,,,Tanya Bonakdar Gallery,https://rodrigo-hernandez.net/cv
,Rodrigo Hernández,,,,,,,"CLEARING-LA, CLEARING-NewYork, Tanya Bonakdar Gallery",
,Rodrigo Matheus,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Roland Flexner,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Ryan Foerster,,,,,,,CLEARING-NewYork,
,Rémy Zaugg,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sabine Hornig,,,,,,,Tanya Bonakdar Gallery,
,Sadie Laska,,,,,,,56 Henry,
,Salman Toor,,,,,,,Luhring Augustine,
,Sam Cockrell,,,,,,,International Waters,
26,Sam Rolfes,sam-rolfes,,,,,,,
,Saman & Sasan Oskouei,,,,,,,IRL Gallery NYC,
56,Sammy Bennett,sammy-bennett,,,,,,,
,Samuel Haitz,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sandra Cinto,,,,,,,Tanya Bonakdar Gallery,
,Sanya Kantarovsky,,,,,,,Luhring Augustine,
,Sara Flores,,,,,,,CLEARING-NewYork,
,Sarah Crowner,,,,,,,Luhring Augustine,
,Sarah Morris,,,,,,,"CLEARING-LA, CLEARING-NewYork",
22,Sarah Sze,sarah-sze,,,https://www.sarahsze.com,,,Tanya Bonakdar Gallery,https://www.sarahsze.com/cv
,Sascha Braunig,,,,,,,Magenta Plains,
,Sasha Gordon,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sayre Gomez,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Saâdane Afif,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sean Raspet,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sebastian Black,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Sebastien Bonin,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sedrick Chisom,,,,,,,CLEARING-NewYork,
,Ser Serpas,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sergej Jensen,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sergen Şehitoğlu,,,,,,,Sanatorium,
,Serra Victoria Bothwell Fels,,,,,,,International Waters,
,Seung-Min Lee,,,,,,,International Waters,
,Sharif Farrag,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Shaun Krupa,,,,,,,International Waters,
,Shawn Huckins,,,,,,,IRL Gallery NYC,
,Sheroanawe Hakihiiwe,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sherrill Roland,,,,https://www.sherrillroland.com,https://www.instagram.com/sherrillroland,,Tanya Bonakdar Gallery,https://www.sherrillroland.com/cv
,Shilpa Gupta,,,,https://shilpagupta.com,https://www.instagram.com/p,,Tanya Bonakdar Gallery,https://shilpagupta.com/cv
,Shinoh Nam,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Shota Nakamura,,,,,,,CLEARING-NewYork,
,Silvia Giordani,,,,,,,IRL Gallery NYC,
,Simon Evans,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Simone Griffin,,,,,,,CLEARING-NewYork,
,Simone Leigh,,,,,,,Luhring Augustine,
,Slavs and Tatars,,,,https://www.slavsandtatars.com,,,Tanya Bonakdar Gallery,
,Sof'ya Shpurova,,,,,,,CLEARING-NewYork,
,Sophie Stone,,,,,,,Europa,
,Spencer Sweeney,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Stan VanDerBeek Archive,,,,https://magentaplains.com/artists/stan-vanderbeek-archive,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Stanislao Lepri,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Stephen Morrison,,,,,,,IRL Gallery NYC,
,Steve Wolfe,,,,,,,Luhring Augustine,
,Supawich Weesapen,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Susan Philipsz,,,,,,,Tanya Bonakdar Gallery,
,Suyi Xu,,,,,,,Europa,
,Sveta Mordovskaya,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Sydney Kleinrock,,,,,,,IRL Gallery NYC,
52,Taesha Aurora,taesha-aurora,,,,,,,
,Tanya Merrill,,,,,,,CLEARING-NewYork,
,Tariq Oliver,,,,,,,IRL Gallery NYC,
,Taylor Baldwin,,,,,,,International Waters,
,Terence Koh,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Teresa Hubbard & Alexander Birchler,,,,,,,Tanya Bonakdar Gallery,
,Teresa Hubbard and Alexander Birchler,,,,https://www.hubbardbirchler.net,,,Tanya Bonakdar Gallery,https://www.hubbardbirchler.net/cv
,Thom Trojanowski,,,,,,,CLEARING-NewYork,
,Thomas Fougeirol,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Thomas McDonell,,,,,,,Europa,
,Thomas Scheibitz,,,,https://www.thomasscheibitz.de,,,Tanya Bonakdar Gallery,https://www.thomasscheibitz.de/cv
,Tiago Carneiro Da Cunha,,,,,,,"CLEARING-LA, CLEARING-NewYork",
48,Tim McCool,tim-mccool,,,,,,,
,Tina Shaw,,,,,,,IRL Gallery NYC,
,Tiril Hasselknippe,,,,https://tirilhasselknippe.com,,,Magenta Plains,https://tirilhasselknippe.com/cv
,Tobias Kaspar,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Tobias Spichtig,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Todd Eberle,,,,,,,56 Henry,
,Tom Friedman,,,,,,,Luhring Augustine,
,Tomas Saraceno,,,,https://studiotomassaraceno.org,,,Tanya Bonakdar Gallery,https://studiotomassaraceno.org/cv
,Tomasz Kowalski,,,,,,,CLEARING-NewYork,
,Tomm El-Saieh,,,,,,,Luhring Augustine,
,Tomás Saraceno,,,,,,,Tanya Bonakdar Gallery,
41,Travis Boyer,travis-boyer,,,,,,,
,Trevor Shimizu,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Tristan Unrau,,,,,,,CLEARING-NewYork,
,Tunga,,,,,,,Luhring Augustine,
,Tyler Christopher Brown,,,,,,,IRL Gallery NYC,
,Ugo Schildge,,,,,,,IRL Gallery NYC,
,Unyimeabasi Udoh,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Urban Zellweger,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Uri Aran,,,,,,,CLEARING-NewYork,
,Uta Barth,,,,https://utabarth.net,,,Tanya Bonakdar Gallery,https://utabarth.net/wp-content/uploads/2025/07/Uta_Barth_Resume_25_07_02-1.pdf
,Valentin Carron,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Valerie Keane,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Valeska Soares,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Viola Yeşiltaç,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Violet Dennison,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Walter Swennen,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
45,Wendy Klemperer,wendy-klemperer,,,,,,,
,Whitney Claflin,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Wilhelm Sasnal,,,,,,,CLEARING-NewYork,
,Will Sheldon,,,,,,,CLEARING-NewYork,
,Willa Cosinuke,,,,,,,Europa,
,William Blake,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Wong Ping,,,,,,,Tanya Bonakdar Gallery,
,Xingzi Gu,,,,,,,CLEARING-NewYork,
,Yanqing Pei,,,,,,,IRL Gallery NYC,
50,Yasmeen Abdallah,yasmeen-abdallah,,,,,,,
29,Yasue Maetake,yasue-maetake,,,,,,,
,Yasumasa Morimura,,,,,,,Luhring Augustine,
,Yağız Özgen,,,,,,,Sanatorium,
,Ye Cheng,,,,,,,IRL Gallery NYC,
,Yuko Mohri,,,,https://mohrizm.net,,,Tanya Bonakdar Gallery,https://mohrizm.net/cv
,Yuli Yamagata,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Yunus Emre Erdoğan,,,,,,,Sanatorium,
,Zach Bruder,,,,https://www.zachbruder.com,https://www.instagram.com/zachbruder,,Magenta Plains,https://www.zachbruder.com/cv
,Zak Kitnick,,,,,,,CLEARING-NewYork,
,Zarina,,,,,,,Luhring Augustine,
,Zeyno Pekünlü,,,,,,,Sanatorium,
,Zoe Barcza,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,tarah douglas,,,,,,,International Waters,
,Çağla Köseoğulları,,,,,,,Sanatorium,
