id,name,slug,nationality,birth_year,website,instagram,instagram_followers,galleries_exhibited,cv_url
,Chadwick Rantanen,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Chang Sujung,,,,,,,International Waters,
,Charles Atlas,,,,,,,Luhring Augustine,
,Charles Long,,,,,,,Tanya Bonakdar Gallery,
,Charlotte vander Borght,,,,,,,CLEARING-NewYork,
,Chase Hall,,,,,,,CLEARING-NewYork,
,Chason Matthams,,,,https://magentaplains.com/artists/chason-matthams,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Cheryl Donegan,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Chris Baas,,,,,,,IRL Gallery NYC,
54,Chris Baker,chris-baker,,,,,,,
,Chris Domenick,,,,,,,International Waters,
,Chris Retsina,,,,,,,Europa,
,Christiane Peschek,,,,,,,Sanatorium,
,Christina Forrer,,,,,,,Luhring Augustine,
,Christopher K. Ho,,,,,,,56 Henry,
,Christopher Wool,,,,,,,Luhring Augustine,
,Clara Gesang-Gottowt,,,,,,,IRL Gallery NYC,
,Clare Doveton,,,,,,,IRL Gallery NYC,
66,Clare Hu,clare-hu,,,,,,,
,Clayton Schiff,,,,,,,"56 Henry, CLEARING-NewYork",
,Clemens Wolf,,,,,,,Sanatorium,
,Coco Young,,,,,,,CLEARING-NewYork,
,Colin Brant,,,,,,,Europa,
,Constance Tenvik,,,,,,,56 Henry,
,Constanza Schaffner,,,,,,,Luhring Augustine,
,Cooper Jacoby,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Cristiano Lenhardt,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Cynthia Talmadge,,,,,,,56 Henry,
,Daid Roy,,,,,,,56 Henry,
,Daido Moriyama,,,,,,,Luhring Augustine,
,Daidō Moriyama,,,,,,,Luhring Augustine,
,Daisy Sheff,,,,,,,CLEARING-NewYork,
,Dana Powell,,,,http://www.dana-powell.com,,,Tanya Bonakdar Gallery,http://www.dana-powell.com/cv
,Daniel Dewar & Grégory Gicquel,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Danielle Kosann,,,,,,,IRL Gallery NYC,
,David Altmejd,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,David Weiss,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
20,Dean Cercone,dean-cercone,,,,,,,
,Dejan Dukic,,,,,,,IRL Gallery NYC,
,Denis & Marjano Kapurani,,,,,,,IRL Gallery NYC,
,Diane Severin Nguyen,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Diego Singh,,,,,,,Luhring Augustine,
,Dingyue Fan,,,,,,,IRL Gallery NYC,
,Dirk Stewen,,,,https://www.dirkstewen.com,,,Tanya Bonakdar Gallery,https://www.dirkstewen.com/cv
,Don Dudley,,,,https://magentaplains.com/artists/don-dudley,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Dorian Gaudin,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Dylan Bailey,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Dylan Lynch,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
51,Earth Ængel,earth-ngel,,,,,,,
,Ebecho Muslimova,,,,https://magentaplains.com/artists/ebecho-muslimova,https://www.instagram.com/magentaplains,,"CLEARING-NewYork, Magenta Plains",https://magentaplains.com/cv
